comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_deriv_min_val,eq_negative,eq_vb
85,1.0,85,0.02,0.02,0.0,0.005,0.2,0.275,0.15,1.0,3.042304230423042,34.44637515333841,38.88330358181447,36.81618969731962,36.86547301156658,-0.0012639610630245102,9.279555652907393e-5,0.0012865289791195685,34.44637510701066,34.445111192275384,71.05527133572276,71.05766997225108,105.50278116452645,32.64853382259176,8.394158337551861,100.0,0.08,0.6,0.27,1.0,0.0012639610630245102,-3.669358698550933e-5,3.669358698550933e-5,9.279555652907393e-5,false,0.0
86,1.0,86,0.02,0.02,0.0,0.001,0.3,0.275,0.15,1.0,2.9603960396039604,35.03203184470443,39.24737712159474,36.804552210017036,37.08497008581009,-0.02185888479028364,0.00022004996994684124,0.0013612716082915981,35.011916804972074,35.010172959914144,71.3013850655955,71.29715604688452,106.30732900679867,32.93298146703991,9.705102004515709,100.0,0.08,0.6,0.27,1.0,0.02185888479028364,-0.0006239685122228476,0.0006239685122228476,0.00022004996994684124,false,0.0
87,1.0,87,0.02,0.02,0.0,0.0025,0.3,0.275,0.15,1.0,2.94989498949895,34.27597204563245,38.57182712516806,36.23994593502581,36.432380185512486,-0.02368057162369297,0.00030230058512447896,0.0012943134768799598,34.25372464785074,34.25229147400876,71.59521140147622,71.59085492455779,105.84314639856655,32.361369289823614,8.8872244060896,100.0,0.08,0.6,0.27,1.0,0.02368057162369297,-0.0006908796515578446,0.0006908796515578446,0.00030230058512447896,false,0.0
88,1.0,88,0.02,0.02,0.0,0.003,0.3,0.275,0.15,1.0,2.9467446744674466,34.03763611714268,38.36061929048805,36.06430950105271,36.228097821675014,-0.024056521022430388,0.00030886039370125464,0.001289383304319205,34.01487681604804,34.01357959612025,71.68196642760275,71.677543795208,105.69112339132825,32.18205891348393,8.624688771560685,100.0,0.08,0.6,0.27,1.0,0.024056521022430388,-0.0007067623891282681,0.0007067623891282681,0.00030886039370125464,false,0.0
89,1.0,89,0.02,0.02,0.0,0.004,0.3,0.275,0.15,1.0,2.9435943594359437,33.608482120267894,37.989545749059985,35.760687556894645,35.86831248949133,-0.024410399968815,0.00024177674468512644,0.0012750620581915395,33.585011169919355,33.58407172029908,71.81254858122716,71.80797578986753,105.3920475101666,31.865849951401128,8.1186059576835,100.0,0.08,0.6,0.27,1.0,0.024410399968815,-0.0007263166447524297,0.0007263166447524297,0.00024177674468512644,false,0.0
90,1.0,90,0.02,0.02,0.0,0.005,0.3,0.275,0.15,1.0,2.9435943594359437,33.22710780443705,37.67016636115579,35.504502063214524,35.55728893443075,-0.024366654408183308,0.0002543594882653363,0.0012656260807461447,33.20337645291219,33.202741150028864,71.90021046789325,71.896167840796,105.09890899082487,31.59189897292603,7.633410530029638,100.0,0.08,0.6,0.27,1.0,0.024366654408183308,-0.0007333366043050385,0.0007333366043050385,0.0002543594882653363,false,0.0
91,1.0,91,0.02,0.02,0.0,0.001,0.5,0.275,0.15,1.0,2.7304230423042304,32.42965862332613,36.41313294247461,34.08017776547084,34.333842262388565,-0.06879412412610719,0.0004559479846798235,0.001227647650023684,32.42875264969729,32.36086449920002,73.44662987578288,73.41947017002738,105.7803346692274,30.592514762211405,8.545843506765461,100.0,0.08,0.6,0.27,1.0,0.06879412412610719,-0.0021213335892664837,0.0021213335892664837,0.0004559479846798235,false,0.0
92,1.0,92,0.02,0.02,0.0,0.0025,0.5,0.275,0.15,1.0,2.7167716771677166,31.876310677379216,35.95363748677341,33.72826162111192,33.89160192489073,-0.07004864895136009,0.00036099967946694265,0.0012065093036221696,31.87625768316124,31.806262028427856,73.54999536722653,73.51515438153882,105.32141640996667,30.199234982390532,7.803379853125225,100.0,0.08,0.6,0.27,1.0,0.07004864895136009,-0.0021975143127548192,0.0021975143127548192,0.00036099967946694265,false,0.0
93,1.0,93,0.02,0.02,0.0,0.003,0.5,0.275,0.15,1.0,2.706270627062706,31.64996991236854,35.75310144801573,33.56676984904747,33.69925675243003,-0.07040288876694589,0.00036075367718728266,0.0012007081231164712,31.649895178241998,31.579567023601594,73.62117893839527,73.58633183945172,105.16589886305331,30.028333675656977,7.550228255403302,100.0,0.08,0.6,0.27,1.0,0.07040288876694589,-0.0022244219808699736,0.0022244219808699736,0.00036075367718728266,false,0.0
94,1.0,94,0.02,0.02,0.0,0.004,0.5,0.275,0.15,1.0,2.682118211821182,31.141912005113387,35.285911666373124,33.17950694249245,33.25261736459324,-0.06817005686789557,0.0004769787331574243,0.0011469060734472611,31.1418243306314,31.07374194824549,73.82705258036738,73.7941331968791,104.8678751451246,29.631325994965714,7.062439312271196,100.0,0.08,0.6,0.27,1.0,0.06817005686789557,-0.0021890132133409886,0.0021890132133409886,0.0004769787331574243,false,0.0
